#Transcript_ID	GFF_annotation	HHPred_annotation
Smp_000020.1	Protein O-GlcNAcase	Ogoga, hyaluronoglucosaminidase
Smp_000300.2	WD repeat-containing protein 19	Coatomer beta'-subunit
Smp_000310.1	Transmembrane protein 41B	Glycosyl hydrolase 25
Smp_000310.2	Transmembrane protein 41B	Sigma-54, RNA polymerase sigma factor RPON
Smp_000310.3	Transmembrane protein 41B	Sigma-54, RNA polymerase sigma factor RPON
Smp_000320.1	Uncharacterized protein ZK1073.1	Protein NDRG2, protein NDR2
Smp_000340.1	ecdysone-induced protein E78	Liver X nuclear receptor beta
Smp_000370.1	Selenoprotein K	RNA 3'-terminal phosphate cyclase
Smp_000390.1	50S ribosomal protein L34e	Putative type VI secretion protein
Smp_000420.1	Pro His rich protein	SP-D, PSP-D, pulmonary surfactant-associated protein D
Smp_000430.1	Putative eggshell protein	Amyloid beta-peptide
Smp_000470.1	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	SMU.573, putative uncharacterized protein
Smp_000470.2	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	SMU.573, putative uncharacterized protein
Smp_000470.3	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	SMU.573, putative uncharacterized protein
Smp_000480.1	Eukaryotic translation initiation factor 3 subunit C	26S proteasome regulatory subunit RPN6
Smp_000480.2	Eukaryotic translation initiation factor 3 subunit C	26S proteasome regulatory subunit RPN6
Smp_000500.1	Vacuolating cytotoxin autotransporter	Hypothetical protein AQ_1857
Smp_000510.1	Mannose-1-phosphate guanyltransferase beta	Glucose-1-phosphate adenylyltransferase
Smp_000560.1	Probable GTP 3',8-cyclase	Uncharacterized lipoprotein YCEB
Smp_000580.1	Coiled-coil domain-containing protein 63	Seryl-tRNA synthetase
Smp_000590.1	28S ribosomal protein S26, mitochondrial	Peptidoglycan recognition protein I-alpha
Smp_000600.1	Notchless protein homolog 1	RSA4, ribosome assembly protein 4
Smp_000600.2	Notchless protein homolog 1	RSA4, ribosome assembly protein 4
Smp_000620.1	Class E basic helix-loop-helix protein 23	DNA-binding protein inhibitor ID-3
Smp_000630.1	Isochorismatase domain-containing protein 2	F35G2.2, MAR1 ribonuclease
Smp_000640.1	Adapter molecule Crk	CRK-like protein
Smp_000650.1	E3 ubiquitin-protein ligase sina	E3 ubiquitin-protein ligase SIAH1
Smp_000650.2	E3 ubiquitin-protein ligase sina	E3 ubiquitin-protein ligase SIAH1
Smp_000650.3	E3 ubiquitin-protein ligase sina	E3 ubiquitin-protein ligase SIAH1
Smp_000660.1	ornithine aminotransferase	Ornithine aminotransferase
Smp_000670.1	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2	PYK2-associated protein beta
Smp_000680.1	Mitochondrial ornithine transporter 1	Mitochondrial uncoupling protein 2
Smp_000690.1	Brain-specific homeobox/POU domain protein 3	POU domain, class 5, transcription factor 1
Smp_000700.1	SET and MYND domain-containing protein 4	SET and MYND domain-containing protein 3
Smp_000710.1	Deubiquitinating enzyme 12	Ubiquitin carboxyl-terminal hydrolase 4
Smp_000720.1	Homeodomain-interacting protein kinase 3	Dual specificity tyrosine-phosphorylation-regulat 1A
Smp_000740.1	26s proteasome non-atpase regulatory subunit 4 (26s proteasomeregulatory subunit s5a)	RPN10, 26S proteasome regulatory subunit RPN10
Smp_000755.1	Membrane metallo-endopeptidase-like 1	Neprilysin
Smp_000770.1	Phospholipid-transporting ATPase IB	NS5A, nonstructural protein 5A
Smp_000790.1	Actin-binding LIM protein 1	Flinc4, fusion protein of LMO4 protein and LIM domain- binding protein 1
Smp_000790.2	Actin-binding LIM protein 1	Flinc4, fusion protein of LMO4 protein and LIM domain- binding protein 1
Smp_000810.1	Putative deoxyribonuclease TATDN1	3'-5'-exonuclease
Smp_000820.1	DNA polymerase alpha catalytic subunit	Hepatitis B virus X-interacting protein
Smp_000820.2	UPF0753 protein Nham_4323	Hepatitis B virus X-interacting protein
Smp_000830.1	homeobox protein smox-3	Homeobox protein OTX2
Smp_000850.1	DnaJ homolog subfamily C member 5	DNAJ homolog subfamily C member 5
Smp_000870.1	FYVE, RhoGEF and PH domain-containing protein 4	FYVE, rhogef and PH domain-containing protein 5
Smp_000870.2	FYVE, RhoGEF and PH domain-containing protein 4	FYVE, rhogef and PH domain-containing protein 5
Smp_000870.3	FYVE, RhoGEF and PH domain-containing protein 4	FYVE, rhogef and PH domain-containing protein 5
Smp_000870.4	FYVE, RhoGEF and PH domain-containing protein 4	FYVE, rhogef and PH domain-containing protein 5
Smp_000880.1	ATP synthase lipid-binding protein-like protein	ATP synthase subunit 9, mitochondrial
Smp_000900.1	Cholecystokinin receptor	P2Y purinoceptor 12, soluble cytochrome B562
Smp_000910.1	Axonemal 84 kDa protein	Geminin
Smp_000950.1	Putative nucleotidyltransferase MAB21L1	Cyclic GMP-AMP synthase
Smp_000980.1	High mobility group protein DSP1	High mobility group protein B1
Smp_000990.1	Exocyst complex component 1	Protein PSL1, exocyst complex component SEC3
Smp_001000.1	Universal stress protein MSMEG_3950/MSMEI_3859	Protein (ATP-binding domain of protein MJ0577)
Smp_001020.1	Adenine DNA glycosylase	A/G-specific adenine glycosylase
Smp_001030.1	5'-AMP-activated protein kinase subunit gamma-1	Protein C1556.08C
Smp_001040.1	Kinesin heavy chain	Kinesin, kinesin heavy chain
Smp_001070.1	2-oxoglutarate receptor 1	P2Y purinoceptor 12, soluble cytochrome B562
Smp_001080.1	RIIa domain-containing protein 1	CAMP-dependent protein kinase type I-beta regulat subunit
Smp_001090.1	Nuclear pore complex protein Nup107	Nucleoporin NUP84
Smp_001095.1	Tudor domain-containing protein 3	RECQ-mediated genome instability protein 1
Smp_001095.2	Tudor domain-containing protein 3	RECQ-mediated genome instability protein 1
Smp_001100.1	Fibrillin-3	Fibrillin-1
Smp_001120.1	39S ribosomal protein L50, mitochondrial	VAV proto-oncogene
Smp_001160.1	Sperm-associated antigen 16 protein	Platelet-activating factor acetylhydrolase IB alpha subunit
Smp_001170.1	Eukaryotic translation initiation factor 3 subunit A	Eukaryotic translation initiation factor 3 subuni
Smp_001170.2	Eukaryotic translation initiation factor 3 subunit A	Eukaryotic translation initiation factor 3 subuni
Smp_001180.1	Helicase ARIP4	Similar to RAD54-like
Smp_001210.1	Myosin IC heavy chain	Unconventional myosin-IB
Smp_001210.2	Myosin-1	Unconventional myosin-IB
Smp_001360.1	Thymidylate kinase	DTMP kinase, thymidylate kinase
Smp_001390.1	Nck-associated protein 1	NCK-associated protein 1
Smp_001410.1	Glyoxalase domain-containing protein 4	Glyoxalase domain-containing protein 4
Smp_001420.1	Growth hormone-regulated TBC protein 1	Rabgap/TBC protein
Smp_001420.2	Growth hormone-regulated TBC protein 1	Rabgap/TBC protein
Smp_001500.1	Eukaryotic translation initiation factor 4E	Eukaryotic translation initiation 4E
Smp_001530.1	Exocyst complex component 8	Exocyst complex component EXO84
Smp_001560.1	E3 ubiquitin-protein ligase Zswim2	Zinc finger SWIM domain-containing protein 2
Smp_001590.1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	Conserved hypothetical protein
Smp_001610.1	Radial spoke head protein 9 homolog	Periplasmic protein related to spheroblast format
Smp_001640.1	V-type proton ATPase subunit G 2	V-type proton ATPase subunit G
Smp_001780.1	Major facilitator superfamily domain-containing protein 6	DI-OR tripeptide\:H+ symporter
Smp_001780.2	Major facilitator superfamily domain-containing protein 6	Melibiose carrier protein
Smp_001780.3	Major facilitator superfamily domain-containing protein 6	Nitrate transporter 1.1
Smp_001830.1	60S ribosomal protein L24	60S ribosomal protein L24, 60S ribosomal protein L26
Smp_001830.2	60S ribosomal protein L24	60S ribosomal protein L24, putative
Smp_001890.1	venom allergen (val) protein	Venom allergen-like (Val) 4 protein
Smp_001900.1	Neurofascin	DOWN syndrome cell adhesion molecule (dscam) ISOF 1.30.30, N-terminal eight IG domains...
Smp_001940.1	DREV protein	Putative methyltransferase
Smp_001940.2	Methyltransferase-like protein 9	Trans-aconitate 3-methyltransferase
Smp_001950.1	CRISPR-associated endoribonuclease Cas2	Lipovitellin (LV-2)
Smp_001960.1	50S ribosomal protein L1	50S ribosomal protein L1
Smp_001960.2	50S ribosomal protein L1	50S ribosomal protein L1
Smp_001980.1	Homeobox protein ceh-31	Zinc finger homeobox protein 1B
Smp_002010.1	Ribosomal RNA small subunit methyltransferase NEP1	Essential for mitotic growth 1
Smp_002060.1	venom allergen-like (VAL) 10 protein	Venom allergen-like (Val) 4 protein
Smp_002070.1	venom allergen-like (VAL) 4 protein	Venom allergen-like (Val) 4 protein
Smp_002080.1	S-adenosylmethionine synthase isoform type-2	S-adenosylmethionine synthetase isoform type-2
Smp_002100.1	Vesicle transport protein SFT2B	Protein (E2)
Smp_002160.1	DNA methyltransferase 1-associated protein 1	DNA methyltransferase 1-associated protein 1
Smp_002180.1	Transcription factor BTF3	Transcription factor BTF3
Smp_002230.1	ESF1 homolog	Protein (SXL-lethal protein), RNA (5'-R(P*GP*UP*UP*GP*UP*UP*UP*UP*UP*UP*UP*U)-3
Smp_002280.1	Kinesin-like protein KIF2A	Kinesin-like protein KIF2C
Smp_002380.1	Ubiquitin domain-containing protein UBFD1	NEDD8 ultimate buster-1
Smp_002410.1	14-3-3 epsilon 2	14-3-3 protein
Smp_002510.1	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	PDHE1-B, pyruvate dehydrogenase E1 component subunit beta
Smp_002550.1	RNA-binding protein 8A	CG8781-PA, CG8781-PA protein
Smp_002600.1	Lysosomal Pro-X carboxypeptidase	Lysosomal Pro-X carboxypeptidase
Smp_002600.2	Lysosomal Pro-X carboxypeptidase	Lysosomal Pro-X carboxypeptidase
Smp_002630.1	venom allergen-like (VAL) 2 protein	Venom allergen-like (Val) 4 protein
Smp_002640.1	homeobox protein SMOX-1	Maltose binding-A1 homeodomain protein chimera
Smp_002740.1	Bifunctional heparan sulfate N-deacetylase/N-sulfotransferase 2	Glutathione peroxidase 1
Smp_002820.1	Zinc finger CCCH domain-containing protein 4	Zinc finger CCCH-type antiviral protein 1
Smp_002840.1	UPF0489 protein C5orf22 homolog	Protein (acyl protein thioesterase 1)
Smp_002840.2	UPF0489 protein C5orf22 homolog	Protein (acyl protein thioesterase 1)
Smp_002840.3	UPF0489 protein C5orf22 homolog	Protein (acyl protein thioesterase 1)
Smp_002860.1	Sugar fermentation stimulation protein A	EB1, zebra, BZLF1 trans-activator protein
Smp_002870.1	Transmembrane protein 115	Rhomboid protease GLPG
Smp_002880.1	ATP synthase subunit alpha, mitochondrial	ATP synthase subunit alpha, mitochondrial
Smp_002920.1	TLC domain-containing protein 2	Huntingtin interacting protein B
Smp_002950.1	Sjoegren syndrome nuclear autoantigen 1 homolog	PCSB, secreted 45 kDa protein
Smp_003000.1	Cyclin-dependent kinase 9	Cell division protein kinase 9
Smp_003130.1	Uridine diphosphate glucose pyrophosphatase	Uridine diphosphate glucose pyrophosphatase
Smp_003140.1	Sorting nexin-32	Sorting nexin-9
Smp_003140.2	Sorting nexin-32	Sorting nexin-9
Smp_003190.1	E3 ubiquitin-protein ligase HACE1	Myotrophin, protein V-1
Smp_003230.1	Endophilin-B1	SH3-containing GRB2-like protein 2
Smp_003230.2	Endophilin-B1	SH3-containing GRB2-like protein 2
Smp_003250.1	COX assembly mitochondrial protein homolog	GCN5-related N-acetyltransferase
Smp_003250.2	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit TRM82	Coiled-coil-helix-coiled-coil-helix domain-contai protein 5
Smp_003270.1	Tubulin-specific chaperone cofactor E-like protein	U2A', U2A'
Smp_003280.1	LIM/homeobox protein Lhx9	Rhombotin-2
Smp_003300.1	Alpha-1-antitrypsin-like protein GS55-MS	Serine protease inhibitor
Smp_003330.1	Sjoegren syndrome nuclear autoantigen 1	Leucine-rich immune molecule 1
Smp_003340.1	ER membrane protein complex subunit 1	Serine/threonine-protein kinase/endoribonuclease
Smp_003410.1	60S ribosomal protein L23a	60S ribosomal protein L25
Smp_003410.2	60S ribosomal protein L23a	60S ribosomal protein L25
Smp_003440.1	Stomatin-2	PH stomatin
Smp_003600.1	Natterin-4	NIFU-like protein
Smp_003610.1	Natterin-4	AAA ATPase, central region
Smp_003620.1	Septin-7.1	Septin-6, protein NEDD5
Smp_003620.2	Septin-7	Septin-6, protein NEDD5
Smp_003630.1	Splicing factor 3A subunit 3	PRE-mRNA-splicing factor PRP9
Smp_003660.1	Spliceosome RNA helicase Ddx39b	Probable ATP-dependent RNA helicase P47
Smp_003660.2	Spliceosome RNA helicase Ddx39b	ATP-dependent RNA helicase P54
Smp_003670.1	Ribosomal RNA small subunit methyltransferase G	NHE-1, NHE1 isoform of Na+/H+ exchanger 1, solute
Smp_003700.1	30S ribosomal protein S18	28S ribosomal protein S18A, mitochondrial
Smp_003710.1	Tropomodulin	TMD-1, tropomodulin TMD-1
Smp_003760.1	Hypothetical protein	P8MTCP1
Smp_003760.2	Hypothetical protein	P8MTCP1
Smp_003770.1	histone H1	Heterochromatin protein 1-binding protein 3
Smp_003860.1	Probable lysosomal cobalamin transporter	CREB
Smp_003900.1	T-box transcription factor TBX20	T-box transcription factor TBX1
Smp_003930.1	Intraflagellar transport protein 56	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110
Smp_003940.1	Arginine-hydroxylase NDUFAF5, mitochondrial	Bpuml
Smp_003940.2	Arginine-hydroxylase NDUFAF5, mitochondrial	Bpuml
Smp_003940.3	Arginine-hydroxylase NDUFAF5, mitochondrial	BAML, PTNL protein
Smp_003970.1	Elongation factor 1-delta	Elongation factor 1-beta
Smp_003980.1	Calpain-B	Calpain-2 catalytic subunit
Smp_003990.1	triosephosphate isomerase	TIM, triosephosphate isomerase
Smp_004000.1	Probable RNA-binding protein EIF1AD	Putative translation initiation factor EIF-1A
Smp_004000.2	Probable RNA-binding protein EIF1AD	Putative translation initiation factor EIF-1A
Smp_004060.1	Cell division cycle protein 20 homolog	CDC20, WD repeat-containing protein SLP1
Smp_004070.1	Beta carbonic anhydrase 1	Beta-carbonic anhydrase
Smp_004070.2	Beta carbonic anhydrase 1	Beta-carbonic anhydrase
Smp_004070.3	Beta carbonic anhydrase 1	Beta-carbonic anhydrase
Smp_004080.1	Mitochondrial 2-oxoglutarate/malate carrier protein	Mitochondrial uncoupling protein 2
Smp_004160.1	Cilia- and flagella-associated protein 77	RPS24, 30S ribosomal protein S24E
Smp_004170.1	Thioredoxin-related transmembrane protein 2 homolog	Thioredoxin-related transmembrane protein 2
Smp_004190.1	Cationic amino acid transporter 4	Arginine/agmatine antiporter
Smp_004200.1	Desumoylating isopeptidase 2	PPPDE peptidase domain-containing protein 2
Smp_004220.1	amidase	Fatty-acid amide hydrolase 1
Smp_004260.1	E2F-associated phosphoprotein	Novel protein
Smp_004310.1	V-type proton ATPase 16 kDa proteolipid subunit	V-type sodium ATP synthase subunit K
Smp_004350.1	Ubiquitin-conjugating enzyme E2 L3	Ubiquitin-conjugating enzyme E2 L3
Smp_004360.1	Coiled-coil domain-containing protein 124-A	SWI/SNF-related matrix-associated actin- dependent regulator of chromatin subfamily...
Smp_004420.1	Pleiotropic drug resistance protein 3	Uncharacterized protein YETJ
Smp_004420.2	BI1-like protein	Uncharacterized protein YETJ
Smp_004420.3	Pleiotropic drug resistance protein 3	Uncharacterized protein YETJ
Smp_004420.4	Golgi anti-apoptotic protein	Uncharacterized protein YETJ
Smp_004440.1	Cadherin-like and PC-esterase domain-containing protein 1	Polymerase subunit PA
Smp_004470.1	thioredoxin peroxidase 3	Probable peroxiredoxin
Smp_004480.1	Protein Red	Mediator of RNA polymerase II transcription subunit 8
Smp_004480.2	Protein Red	Mediator of RNA polymerase II transcription subunit 8
Smp_004550.1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 13	Uncharacterized protein
Smp_004590.1	Hypothetical protein	SAM pointed domain containing ETS transcription factor
Smp_004600.1	T-complex protein 1 subunit delta	T-complex protein 1 subunit delta
Smp_004630.1	UDP-N-acetylglucosamine transporter	Multidrug transporter EMRE
Smp_004630.2	CMP-sialic acid transporter	Protein EMRE
Smp_004640.1	DNA-directed RNA polymerases I and III subunit RPAC1	DNA-directed RNA polymerases I and III subunit RP
Smp_004640.2	DNA-directed RNA polymerases I and III subunit RPAC2	DNA-directed RNA polymerase subunit L
Smp_004680.1	Interferon-related developmental regulator 1	PP2A scaffold subunit A, truncated, AN internal D PP2A A
Smp_004690.1	E3 ubiquitin-protein ligase KCMF1	Dystrobrevin alpha
Smp_004690.2	E3 ubiquitin-protein ligase KCMF1	Dystrobrevin alpha
Smp_004710.1	Mu-conotoxin-like PnMKLT1-014	30S ribosomal protein S10
Smp_004730.1	high voltage-activated calcium channel cav2b	Navrh, ION transport protein
Smp_004780.1	immunophilin	FKBP51, 51 kDa FK506-binding protein
Smp_004810.1	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit A	Protein serine/threonine phosphatase-1 (alpha ISO 1)
Smp_004820.1	Signal peptidase complex subunit 1	Villin
Smp_004910.1	Ras-related protein Rab-14	GTP-binding protein YPT31/YPT8
Smp_004940.1	60S ribosomal protein L35	FI02809P, 60S ribosomal protein L35
Smp_004980.1	39S ribosomal protein L20, mitochondrial	MRPL20
Smp_004990.1	T-complex protein 1 subunit zeta	T-complex protein 1 subunit zeta
Smp_005000.1	NECAP-like protein CG9132	Necap1
Smp_005010.1	Chitobiosyldiphosphodolichol beta-mannosyltransferase	Avigt4, glycosyltransferase
Smp_005020.1	E3 ubiquitin-protein ligase CBL-B	Signal transduction protein CBL-C
Smp_005070.1	Chaperone protein DnaJ	Hypothetical protein DNJ-12
Smp_005070.2	Chaperone protein DnaJ	 52 2nyt_A Probable C->U-editing e  20.5      36  0.0011   26.6   0.0   33  128-171   106-138 (190)
Smp_005080.1	Probable 28S rRNA (cytosine-C(5))-methyltransferase	Methyltransferase
Smp_005080.2	Probable 28S rRNA (cytosine-C(5))-methyltransferase	Methyltransferase
Smp_005140.1	Hemicentin-1	Thrombospondin 1
Smp_005160.1	Protein muscleblind	Muscleblind-like protein 1
Smp_005160.2	Protein muscleblind	Muscleblind-like protein 1
Smp_005160.3	Protein muscleblind	Muscleblind-like protein 1
Smp_005160.4	ATP synthase subunit beta	NF1-333, protein (neurofibromin)
Smp_005160.5	Muscleblind-like protein	Muscleblind-like protein 1
Smp_005160.6	Muscleblind-like protein 3	Muscleblind-like protein 1
Smp_005180.1	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A	Eukaryotic peptide chain release factor GTP-bindi ERF3A
Smp_005190.1	Mitogen-activated protein kinase kinase kinase kinase 5	Serine/threonine-protein kinase 3
Smp_005190.2	Mitogen-activated protein kinase kinase kinase kinase 5	Serine/threonine-protein kinase 3
Smp_005190.3	Mitogen-activated protein kinase kinase kinase kinase 5	Serine/threonine-protein kinase 3
Smp_005210.1	histone deacetylase	HD1, histone deacetylase 1
Smp_005230.1	Calumenin-B	Hypothetical protein LOC449832
Smp_005260.1	THO complex subunit 4-A	RNA and export factor binding protein 2
Smp_005260.2	Aly/REF export factor 2	RNA and export factor binding protein 2
Smp_005280.1	Ubiquitin carboxyl-terminal hydrolase 10-A	Ubiquitin carboxyl-terminal hydrolase 14
Smp_005290.1	Cytochrome c1, heme protein, mitochondrial	Cytochrome C-1, cytochrome C1, heme protein, mitochondrial
Smp_005320.1	ATP-dependent 6-phosphofructokinase	RAP30
Smp_005330.1	Methionine--tRNA ligase, mitochondrial	Methionyl-tRNA synthetase
Smp_005330.2	Methionine--tRNA ligase, mitochondrial	Methionyl-tRNA synthetase
Smp_005330.3	Methionine--tRNA ligase, mitochondrial	Methionyl-tRNA synthetase
Smp_005330.4	Methionine--tRNA ligase, mitochondrial	Methionyl-tRNA synthetase
Smp_005390.1	Acetolactate synthase-like protein	Pyruvate dehydrogenase [cytochrome]
Smp_005470.1	Dynein light chain 1, cytoplasmic	Dynein light chain 1, cytoplasmic
Smp_005500.1	Putative polypeptide N-acetylgalactosaminyltransferase 9	Polypeptide N-acetylgalactosaminyltransferase 1
Smp_005520.1	Zinc finger protein 583	AART
Smp_005640.1	Poly(A) RNA polymerase GLD2	Poly(A) RNA polymerase protein CID1
Smp_005670.1	Ras-related protein Rab-11A	GTP-binding protein YPT31/YPT8
Smp_005720.1	Aquaporin-3	Glycerol uptake facilitator protein
Smp_005780.1	Ataxin-7	Chitin elicitor receptor kinase 1
Smp_005790.1	Guanine nucleotide-binding protein G(q) subunit alpha	GS-alpha
Smp_005790.2	Guanine nucleotide-binding protein G(q) subunit alpha	GS-alpha
Smp_005880.1	phosphoenolpyruvate carboxykinase	Phosphoenolpyruvate carboxykinase, cytosolic [GTP
Smp_005900.1	BAG domain-containing protein Samui	Syntaxin-binding protein 4
Smp_005910.1	Protein tyrosine phosphatase type IVA 3	Protein tyrosine phosphatase type IVA, member 1
Smp_005960.1	Hypothetical protein	T-cell surface glycoprotein CD4
Smp_006000.1	Eukaryotic translation initiation factor 3 subunit I	Eukaryotic translation initiation factor 3 subuni
Smp_006060.1	Crossover junction endodeoxyribonuclease RuvC	Ribulose bisphosphate carboxylase small chain C
Smp_006190.1	m7GpppN-mRNA hydrolase	SPAC19A8.12
Smp_006190.2	m7GpppN-mRNA hydrolase	SPAC19A8.12
Smp_006250.1	Polycomb protein SCMH1	SCML2 protein, sex COMB on midleg-like protein 2
Smp_006250.2	Polycomb protein SCMH1	SCML2 protein, sex COMB on midleg-like protein 2
Smp_006320.1	KH domain-containing, RNA-binding, signal transduction-associated protein 2	Female germline-specific tumor suppressor GLD-1
Smp_006340.1	ER membrane protein complex subunit 4	CMP-N-acetylneuraminate-beta-galactosamide-alpha- sialyltransferase
Smp_006340.2	ER membrane protein complex subunit 4	CMP-N-acetylneuraminate-beta-galactosamide-alpha- sialyltransferase
Smp_006350.1	Proteasome-associated protein ECM29 homolog	Alpharep-4
Smp_006390.1	Cystatin-B	Cystatin B
Smp_006440.1	Heterogeneous nuclear ribonucleoprotein L	U4/U6 snRNA-associated-splicing factor PRP24
Smp_006550.1	Glutaredoxin-3	Thioredoxin-like protein 2
Smp_006560.1	Thiosulfate sulfurtransferase/rhodanese-like domain-containing protein 3	Putative thiosulfate sulfurtransferase YOR285W
Smp_006590.1	Zinc finger HIT domain-containing protein 2	Protein FON, zinc finger HIT domain containing protein 2
Smp_006590.2	Zinc finger HIT domain-containing protein 2	Protein FON, zinc finger HIT domain containing protein 2
Smp_006590.3	Zinc finger HIT domain-containing protein 2	Protein FON, zinc finger HIT domain containing protein 2
Smp_006630.1	Myb-binding protein 1A	Cyclic 3',5'-AMP specific phosphodiesterase RD1
Smp_006630.2	Myb-binding protein 1A	Cyclic 3',5'-AMP specific phosphodiesterase RD1
Smp_006680.1	Programmed cell death protein 10	Programmed cell death protein 10
Smp_006680.2	Programmed cell death protein 10	Programmed cell death protein 10
Smp_006690.1	DnaJ homolog subfamily C member 17	Human HSP40, HDJ-1
Smp_006690.2	DnaJ homolog subfamily C member 17	Human HSP40, HDJ-1
Smp_006690.3	DnaJ homolog subfamily C member 17	Human HSP40, HDJ-1
Smp_006700.1	Zinc finger protein 106	SIR4-interacting protein SIF2
Smp_006700.2	Zinc finger protein 106	SIR4-interacting protein SIF2
Smp_006710.1	Endonuclease III-like protein 1	Endonuclease III
Smp_006720.1	Synaptobrevin	Vesicle-associated membrane protein 2
Smp_006730.1	DNA damage-regulated autophagy modulator protein 1	FGF-19, fibroblast growth factor-19
Smp_006750.1	DNA damage-regulated autophagy modulator protein 1	Hypothetical protein AT5G08430
Smp_006750.2	DNA damage-regulated autophagy modulator protein 2	Putative protein-disulfide isomerase
Smp_006760.1	DNA damage-regulated autophagy modulator protein 2	Cell growth regulating nucleolar protein LYAR
Smp_006760.2	DNA damage-regulated autophagy modulator protein 2	VAsp, vasodilator-stimulated phosphoprotein
Smp_006780.1	N-alpha-acetyltransferase 50	Human MAK3 homolog
Smp_006810.1	LIM domain transcription factor LMO4-B	Rhombotin-2
Smp_006830.1	Upstream activation factor subunit spp27	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily...
Smp_006840.1	UPF0060 membrane protein ESA_01751	Multidrug transporter EMRE
Smp_006850.1	DNA-directed RNA polymerases I, II, and III subunit RPABC3	DNA-directed RNA polymerases I, II, and III 17.1 kDa polypeptide
Smp_006860.1	PDZ and LIM domain protein Zasp	PDZ and LIM domain protein 1
Smp_006860.2	PDZ and LIM domain protein Zasp	PDZ and LIM domain protein 1
Smp_006860.3	PDZ and LIM domain protein Zasp	PDZ and LIM domain protein 1
Smp_006920.1	Proto oncogene tyrosine protein kinase FYN	C-SRC, P60-SRC, tyrosine-protein kinase SRC
Smp_006930.1	Beta-1,3-galactosyltransferase brn	Beta-1,3-N-acetylglucosaminyltransferase manic FR
Smp_006930.2	UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1	Beta-1,3-N-acetylglucosaminyltransferase manic FR
Smp_006980.1	Mediator of RNA polymerase II transcription subunit 11	Mediator of RNA polymerase II transcription subun
Smp_007000.1	DNA replication complex GINS protein PSF1	DNA replication complex GINS protein PSF1
Smp_007070.1	Neuropeptide F receptor	Neurotensin receptor type 1, lysozyme chimera
Smp_007170.1	Calcium-binding protein 39-like	MO25 protein
Smp_007180.1	Calcium homeostasis endoplasmic reticulum protein	Regulation of nuclear PRE-mRNA domain-containing 1B
